日期,最高气温,最低气温,天气
2021-07-09,32℃,26℃,多云
2021-07-10,34℃,26℃,晴
2021-07-11,34℃,27℃,多云
2021-07-12,33℃,26℃,多云
2021-07-13,34℃,26℃,多云
2021-07-14,33℃,26℃,多云
2021-07-15,33℃,26℃,多云
2021-07-16,32℃,26℃,多云
2021-07-17,33℃,27℃,阴
2021-07-18,33℃,26℃,多云
2021-07-19,33℃,26℃,多云
2021-07-20,33℃,24℃,多云
2021-07-21,30℃,26℃,阴
2021-07-22,30℃,26℃,阴
2021-07-23,28℃,25℃,小雨
2021-07-24,33℃,24℃,阴
2021-07-25,29℃,26℃,多云
2021-07-26,31℃,27℃,多云
2021-07-27,32℃,28℃,多云
2021-07-28,36℃,25℃,多云
2021-07-29,34℃,25℃,多云
2021-07-30,34℃,25℃,多云
2021-07-31,33℃,28℃,多云
2021-08-01,32℃,27℃,多云
2021-08-02,32℃,26℃,阴
2021-08-03,32℃,27℃,阴
2021-08-04,33℃,27℃,小雨
2021-08-05,31℃,28℃,阴
2021-08-06,33℃,28℃,多云
2021-08-07,34℃,30℃,多云
2021-08-08,34℃,28℃,多云
2021-08-09,36℃,28℃,阴
2021-08-10,35℃,27℃,多云
2021-08-11,35℃,27℃,多云
2021-08-12,35℃,27℃,多云
2021-08-13,33℃,27℃,多云
2021-08-14,35℃,27℃,多云
2021-08-15,33℃,26℃,多云
2021-08-16,34℃,26℃,阴
2021-08-17,34℃,27℃,多云
2021-08-18,34℃,28℃,多云
2021-08-19,34℃,27℃,阴
2021-08-20,34℃,27℃,多云
2021-08-21,34℃,26℃,多云
2021-08-22,34℃,26℃,多云
2021-08-23,34℃,27℃,多云
2021-08-24,34℃,26℃,多云
2021-08-25,34℃,26℃,多云
2021-08-26,32℃,23℃,多云
2021-08-27,33℃,23℃,晴
2021-08-28,35℃,26℃,多云
2021-08-29,33℃,23℃,多云
2021-08-30,34℃,25℃,多云
2021-08-31,33℃,25℃,多云
2021-09-01,32℃,25℃,多云
2021-09-02,30℃,25℃,阴
2021-09-03,31℃,25℃,多云
2021-09-04,33℃,26℃,多云
2021-09-05,33℃,26℃,多云
2021-09-06,33℃,25℃,多云
2021-09-07,29℃,25℃,多云
2021-09-08,33℃,25℃,晴
2021-09-09,33℃,25℃,阴
2021-09-10,29℃,25℃,小雨
2021-09-11,31℃,24℃,阴
2021-09-12,32℃,26℃,多云
2021-09-13,32℃,26℃,阴
2021-09-14,32℃,26℃,阴
2021-09-15,32℃,26℃,多云
2021-09-16,33℃,22℃,多云
2021-09-17,34℃,26℃,多云
2021-09-18,33℃,25℃,晴
2021-09-19,34℃,26℃,晴
2021-09-20,33℃,26℃,小雨
2021-09-21,33℃,26℃,小雨到中雨
2021-09-22,32℃,25℃,多云
2021-09-23,28℃,26℃,小雨到中雨
2021-09-24,29℃,23℃,小雨到中雨
2021-09-25,29℃,20℃,多云
2021-09-26,30℃,25℃,晴
2021-09-27,33℃,25℃,晴
2021-09-28,34℃,23℃,阴
2021-09-29,32℃,22℃,多云
2021-09-30,33℃,26℃,晴
2021-10-01,33℃,24℃,晴
2021-10-02,32℃,23℃,多云
2021-10-03,34℃,24℃,小雨
2021-10-04,32℃,25℃,多云
2021-10-05,28℃,25℃,多云
2021-10-06,31℃,25℃,小雨
2021-10-07,31℃,25℃,多云
2021-10-08,27℃,25℃,小雨
2021-10-09,30℃,24℃,多云
2021-10-10,28℃,25℃,晴
2021-10-11,32℃,25℃,多云
2021-10-12,27℃,22℃,多云
2021-10-13,24℃,22℃,多云
2021-10-14,31℃,24℃,多云
2021-10-15,28℃,21℃,晴
2021-10-16,29℃,14℃,多云
2021-10-17,23℃,22℃,风
2021-10-18,26℃,23℃,多云
2021-10-19,26℃,24℃,暴雨
2021-10-20,14℃,13℃,小雨
2021-10-21,33℃,25℃,多云
2021-10-22,29℃,22℃,晴
2021-10-23,30℃,22℃,多云
2021-10-24,29℃,22℃,多云
2021-10-25,30℃,23℃,晴
2021-10-26,31℃,24℃,多云
2021-10-27,30℃,23℃,阴
2021-10-28,27℃,24℃,多云
2021-10-29,27℃,24℃,阴
2021-10-30,27℃,24℃,小雨
2021-10-31,28℃,25℃,小雨
2021-11-01,30℃,24℃,多云
2021-11-02,31℃,24℃,多云
2021-11-03,30℃,24℃,多云
2021-11-04,31℃,24℃,雾~多云
2021-11-05,31℃,24℃,雾~多云
2021-11-06,32℃,23℃,雾~多云
2021-11-07,31℃,23℃,多云
2021-11-08,31℃,18℃,多云
2021-11-09,29℃,22℃,晴~多云
2021-11-10,30℃,21℃,多云
2021-11-11,29℃,22℃,多云
2021-11-12,30℃,21℃,多云
2021-11-13,30℃,22℃,多云
2021-11-14,29℃,22℃,多云
2021-11-15,28℃,22℃,多云
2021-11-16,30℃,24℃,多云
2021-11-17,30℃,23℃,多云
2021-11-18,31℃,23℃,多云
2021-11-19,31℃,23℃,多云
2021-11-20,31℃,23℃,多云
2021-11-21,31℃,22℃,雾~多云
2021-11-22,32℃,21℃,多云
2021-11-23,28℃,20℃,晴~多云
2021-11-24,29℃,20℃,多云
2021-11-25,28℃,21℃,多云
2021-11-26,28℃,21℃,多云
2021-11-27,28℃,20℃,多云
2021-11-28,28℃,22℃,多云
2021-11-29,30℃,22℃,多云
2021-11-30,29℃,19℃,多云
2021-12-01,26℃,18℃,多云
2021-12-02,26℃,17℃,多云
2021-12-03,28℃,16℃,多云
2021-12-04,28℃,19℃,多云
2021-12-05,27℃,19℃,多云
2021-12-06,27℃,18℃,多云
2021-12-07,28℃,21℃,多云
2021-12-08,25℃,21℃,多云
2021-12-09,27℃,19℃,晴
2021-12-10,27℃,19℃,晴
2021-12-11,20℃,10℃,晴
2021-12-12,29℃,19℃,晴
2021-12-13,28℃,18℃,多云
2021-12-14,27℃,19℃,多云
2021-12-15,18℃,13℃,小雨
2021-12-16,31℃,21℃,多云
2021-12-17,16℃,3℃,多云
2021-12-18,25℃,17℃,多云
2021-12-19,23℃,17℃,多云
2021-12-20,24℃,18℃,多云
2021-12-21,22℃,19℃,小雨
2021-12-22,28℃,20℃,多云
2021-12-23,28℃,20℃,多云
2021-12-24,26℃,21℃,多云
2021-12-25,23℃,21℃,小雨
2021-12-26,25℃,17℃,多云
2021-12-27,24℃,19℃,多云
2021-12-28,27℃,20℃,多云
2021-12-29,27℃,20℃,多云
2021-12-30,26℃,20℃,晴
2021-12-31,10℃,0℃,晴
